"","Ticker","Owner","Relationship","Date","Transaction","Cost","NumShares","ValueDollar","NumSharesTotal","SECForm4"
"199","PII","Mack Robert Paul","CFO, SVP-Corp Dev Pres-Adj Mrk",18694,"Option Exercise",95.37,8048,767570,32260,NA
"200","PII","Mack Robert Paul","CFO, SVP-Corp Dev Pres-Adj Mrk",18691,"Option Exercise",93.86,9359,878454,35071,NA
"201","CSPR","Parikh Neil","Director",18691,"Sale",7.21,16030,115576,1231478,NA
"202","CSPR","Arel Emilie","CCO and President",18691,"Sale",7.21,19223,138598,468194,NA
"203","ANSS","Emswiler Shane","SVP, Products",18694,"Sale",307.47,1130,347441,23613,NA
"204","MYE","Hoehn Daniel W","Interim CFO, Vice President",18692,"Option Exercise",0,1185,0,1185,NA
"205","USCR","JOLAS PAUL M","SVP, General Counsel, Corp Sec",18691,"Option Exercise",0,2760,0,24525,NA
"206","USCR","Kunz John E","SVP & Chief Financial Officer",18691,"Option Exercise",0,4620,0,26671,NA
"207","USCR","Lesley Philip Daren","VP - USC Aggregates",18691,"Option Exercise",0,1380,0,10252,NA
"208","FSLR","Stockdale Caroline","EVP, HR & Communications",18692,"Option Exercise",0,2883,0,2883,NA
"209","NVAX","Trizzino John","EVP, Chief Commercial Officer",18691,"Option Exercise",14.73,3404,50148,3308,NA
"210","NVAX","Trizzino John","EVP, Chief Commercial Officer",18691,"Sale",163.46,3021,493824,287,NA
"211","NVAX","Trizzino John","EVP, Chief Commercial Officer",18695,"Sale",168.09,190,31937,287,NA
"212","BHR","Eubanks Deric S","CFO and Treasurer",18694,"Sale",6.9,75000,517500,82938,NA
"213","LEVI","Eisenhardt Elizabeth H","10% Owner",18691,"Sale",24.06,25056,602850,84244,NA
"214","LEVI","Eisenhardt Elizabeth H","10% Owner",18694,"Sale",24.74,63276,1565556,52606,NA
"215","LEVI","Eisenhardt Elizabeth H","10% Owner",18695,"Sale",24.79,45564,1129317,29824,NA
"216","USCR","Peabody Mark Baker","VP - Human Resources",18691,"Option Exercise",0,2480,0,34951,NA
"217","ORBC","Milcos Constantine","EVP and CFO",18694,"Sale",7.02,8394,58938,104008,NA
"218","NSP","SHARP DOUGLAS S","SVP Finance, CFO & Treasurer",18691,"Sale",89.07,4919,438135,32829,NA
"219","CSPR","Krim Philip","Chief Executive Officer",18691,"Sale",7.21,50816,366383,1996174,NA
"220","ORBC","Stolte John J Jr","EVP, Technology & Operations",18694,"Sale",7.02,5441,38192,149327,NA
"221","TSLA","Kirkhorn Zachary","Chief Financial Officer",18691,"Option Exercise",0,6295,0,61302,NA
"222","TSLA","Kirkhorn Zachary","Chief Financial Officer",18694,"Sale",595.08,2818,1676935,58484,NA
"223","USCR","Pruitt Ronnie A","President & CEO",18691,"Option Exercise",0,8820,0,46209,NA
"224","AX","Dada Uzair","Director",18694,"Sale",48.86,4949,241788,12429,NA
"225","ORBC","Malone Craig","EVP of Product Development",18694,"Sale",7.02,5596,39292,91403,NA
"226","USCR","ROBERTS JEFFREY W","Regional VP & GM - Central",18691,"Option Exercise",0,2080,0,22785,NA
"227","OSIS","CHOPRA DEEPAK","President and CEO",18695,"Sale",97.57,10000,975700,464094,NA
"228","ORBC","Eisenberg Marc","Chief Executive Officer",18694,"Sale",7.02,31091,218309,698316,NA
"229","WDC","Goeckeler David","Chief Executive Officer",18695,"Option Exercise",0,1246,0,339503,NA
"230","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18691,"Sale",8.25,100,825,48694,NA
"231","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18694,"Sale",7.86,9219,72461,39475,NA
"232","AINC","Haiman Robert G.","Exec. VP, GC and Secretary",18695,"Sale",7.85,11931,93658,27544,NA
"233","WDC","Sundberg Lori S","EVP & Chief Human Res Officer",18691,"Option Exercise",0,431,0,68117,NA
"234","ORBC","Le Brun Christian","EVP & General Counsel",18694,"Sale",7.02,6218,43640,117948,NA
"235","PBPB","Cirulis Steven","SVP, Chief Financial Officer",18695,"Sale",5.6,9076,50826,234433,NA
"236","CWK","WHITE W BRETT","Executive Chairman and CEO",18693,"Option Exercise",0,63025,0,1177329,NA
"237","PBPB","Douglas Jeffrey","SVP, Chief Information Officer",18695,"Sale",5.6,4180,23408,135358,NA
"238","AX","Walsh Derrick","SVP, Chief Accounting Officer",18694,"Option Exercise",48.94,3969,194243,18853,NA
"239","TPTX","North Annette","EVP, General Counsel & Secty.",18694,"Option Exercise",17,20000,340000,26483,NA
"240","TPTX","North Annette","EVP, General Counsel & Secty.",18694,"Sale",109.8,20000,2195939,6483,NA
"241","AX","Micheletti Andrew J","EVP, Chief Financial Officer",18694,"Sale",48.96,15000,734400,542084,NA
"242","HCAT","Llewelyn Linda","Chief People Officer",18691,"Option Exercise",11.78,2200,25916,44058,NA
"243","HCAT","Llewelyn Linda","Chief People Officer",18691,"Sale",45.65,3131,142943,40927,NA
"244","HCAT","Horstmeier Paul","Chief Operating Officer",18691,"Sale",45.54,6571,299245,124702,NA
"245","HCAT","Alger Jason","Chief Accounting Officer",18690,"Sale",47,602,28294,23488,NA
"246","IGMS","Tahir Misbah","Chief Financial Officer",18691,"Option Exercise",1.39,2750,3822,5542,NA
"247","DENN","WOLFINGER F MARK","President",18691,"Sale",17.05,10000,170491,806648,NA
"248","LEVI","Haas Peter E. Jr.","10% Owner",18694,"Sale",24.74,43794,1083538,0,NA
"249","LEVI","Haas Peter E. Jr.","10% Owner",18695,"Sale",24.79,31535,781604,0,NA
"250","LBRT","Wright Christopher A","Chairman of the Board & CEO",18691,"Sale",13.38,10000,133800,3974162,NA
"251","LBRT","Wright Christopher A","Chairman of the Board & CEO",18694,"Sale",14.05,18570,260908,3955592,NA
"252","LEVI","Haas Daniel S.","10% Owner",18691,"Sale",24.06,25038,602417,0,NA
"253","LEVI","Haas Daniel S.","10% Owner",18694,"Sale",24.74,63225,1564294,0,NA
"254","LEVI","Haas Daniel S.","10% Owner",18695,"Sale",24.79,45527,1128400,0,NA
"255","HTBK","BISCEGLIA FRANK G","Director",18694,"Option Exercise",5.16,4500,23220,34120,NA
"256","SMAR","MADER MARK PATRICK","President and CEO",18694,"Option Exercise",3.73,7500,27975,463374,NA
"257","INO","Weiner David B.","Director",18694,"Sale",9.18,3500,32135,835385,NA
"258","INO","Weiner David B.","Director",18695,"Sale",9.6,3500,33601,843552,NA
"259","MGM","HORNBUCKLE WILLIAM","CEO AND PRESIDENT",18694,"Sale",37.1,40000,1484036,187884,NA
"260","CVNA","GARCIA ERNEST C. II","10% Owner",18691,"Sale",260.64,35487,9249159,0,NA
"261","EVFM","PELLETIER SAUNDRA L","Chief Executive Officer",18695,"Buy",2.28,45249,103168,906137,NA
"262","CVNA","GARCIA ERNEST C. II","10% Owner",18691,"Sale",250.88,14513,3640982,0,NA
"263","ELF","AMIN TARANG","Chief Executive Officer",18694,"Sale",26.53,26372,699541,2332002,NA
"264","ELF","AMIN TARANG","Chief Executive Officer",18695,"Sale",26.65,23426,624312,2308576,NA
"265","MORF","SCHEGERIN MARC","CFO and COO",18694,"Buy",63.5,3000,190514,6379,NA
